,combined,combined,combined,contradiction,contradiction,contradiction,missing_tool,missing_tool,missing_tool,overgeneration,overgeneration,overgeneration
,P,R,F1,P,R,F1,P,R,F1,P,R,F1
method,,,,,,,,,,,,
lookbacklens-ragtruth-w4-t0.3,0.1288,0.9322,0.2264,0.0203,0.9799,0.0397,0.0728,0.9736,0.1356,0.1684,0.9191,0.2846
lookbacklens-ragtruth-w4-t0.5,0.1421,0.8614,0.244,0.0267,0.9447,0.0519,0.0814,0.9302,0.1496,0.1811,0.8395,0.2979
lookbacklens-ragtruth-w4-t0.7,0.16,0.7275,0.2623,0.0369,0.8995,0.071,0.0919,0.8019,0.1649,0.2007,0.7011,0.3121
lookbacklens-toolace-w4-t0.3,0.2444,0.915,0.3858,0.0323,0.9045,0.0624,0.152,0.9994,0.2638,0.3142,0.8916,0.4647
lookbacklens-toolace-w4-t0.5,0.3367,0.832,0.4794,0.0517,0.8719,0.0977,0.2257,0.9988,0.3681,0.4214,0.7839,0.5481
lookbacklens-toolace-w4-t0.7,0.4586,0.7062,0.5561,0.0831,0.7412,0.1494,0.3603,0.9948,0.529,0.5459,0.6241,0.5824
lookbacklens-ragtruth-w8-t0.3,0.1307,0.9261,0.2291,0.0207,0.9698,0.0405,0.0733,0.96,0.1362,0.1712,0.9152,0.2885
lookbacklens-ragtruth-w8-t0.5,0.1468,0.8639,0.251,0.0263,0.9271,0.0512,0.0819,0.9073,0.1503,0.1889,0.8497,0.3091
lookbacklens-ragtruth-w8-t0.7,0.1659,0.7376,0.2709,0.0343,0.8291,0.0659,0.0919,0.7827,0.1646,0.2118,0.7219,0.3275
lookbacklens-toolace-w8-t0.3,0.2307,0.9265,0.3694,0.0314,0.9724,0.0608,0.1436,0.9997,0.2511,0.2994,0.9045,0.4499
lookbacklens-toolace-w8-t0.5,0.301,0.8185,0.4401,0.0424,0.8643,0.0809,0.2074,0.9971,0.3434,0.3762,0.7669,0.5047
lookbacklens-toolace-w8-t0.7,0.3905,0.6931,0.4995,0.0639,0.7437,0.1177,0.3057,0.9693,0.4649,0.4624,0.614,0.5275
lexical,0.1437,0.6975,0.2383,0.0249,0.7739,0.0483,0.0778,0.7086,0.1401,0.1875,0.6919,0.295
